s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength
-0.00448024126464265,0.0012307443857609045,0.1967271074860686,-0.6687238846188612,0.19672710748129768,-0.6687238846165509,0.1967271074860686,-0.6687238846188612,0.00025785707451158555,0.0002786041546532703,0.00025785707451158555,0.0002786041546532703,0.19672710748129768,-0.6687238846165509,0.00025785707451158555,0.0002786041546532703,0.00025785707451158555,0.0002786041546532703,0.7300000000000001
-0.00439416354933572,0.0013793988586707567,0.18668600353206796,-0.6715925659680322,0.18668600352769063,-0.6715925659654763,0.18668600353206796,-0.6715925659680322,0.00026304959507519063,0.00026987564177733894,0.00026304959507519063,0.00026987564177733894,0.18668600352769063,-0.6715925659654763,0.00026304959507519063,0.00026987564177733894,0.00026304959507519063,0.00026987564177733894,0.7301001001001001
-0.004303683026720563,0.0015235844859950729,0.17660627502767426,-0.674308911314086,0.1766062750229643,-0.6743089113116266,0.17660627502767426,-0.674308911314086,0.0002679821061426361,0.00026107799882249235,0.0002679821061426361,0.00026107799882249235,0.1766062750229643,-0.6743089113116266,0.0002679821061426361,0.00026107799882249235,0.0002679821061426361,0.00026107799882249235,0.7302002002002002
-0.0042089984215647955,0.0016631930984867668,0.16649027647273965,-0.676872461003215,0.1664902765104025,-0.6768724609772515,0.16649027647273965,-0.676872461003215,0.0002726545988324938,0.0002522183111529621,0.0002726545988324938,0.0002522183111529621,0.1664902765104025,-0.6768724609772515,0.0002726545988324938,0.0002522183111529621,0.0002726545988324938,0.0002522183111529621,0.7303003003003002
-0.004110310114706304,0.001798124412186156,0.1563403664650958,-0.6792827931723832,0.15634036646048066,-0.6792827931698201,0.1563403664650958,-0.6792827931723832,0.0002770672471368774,0.00024330362168890207,0.0002770672471368774,0.00024330362168890207,0.15634036646048066,-0.6792827931698201,0.0002770672471368774,0.00024330362168890207,0.0002770672471368774,0.00024330362168890207,0.7304004004004003
-0.004007819861896219,0.0019282860014902703,0.14615890659063369,-0.6815395240979607,0.14615890658548847,-0.6815395240955644,0.14615890659063369,-0.6815395240979607,0.00028122040571606816,0.00023434092629194704,0.00028122040571606816,0.00023434092629194704,0.14615890658548847,-0.6815395240955644,0.00028122040571606816,0.00023434092629194704,0.00028122040571606816,0.00023434092629194704,0.7305005005005005
-0.003901730515026954,0.0020535932622663044,0.13594826118257355,-0.6836423078117123,0.1359482611781592,-0.6836423078090107,0.13594826118257355,-0.6836423078117123,0.00028511460781326266,0.0002253371691010631,0.00028511460781326266,0.0002253371691010631,0.1359482611781592,-0.6836423078090107,0.00028511460781326266,0.0002253371691010631,0.00028511460781326266,0.0002253371691010631,0.7306006006006006
-0.0037922457483205298,0.0021739693665572585,0.12571079644543923,-0.6855908361626559,0.1257107964409257,-0.6855908361599008,0.12571079644543923,-0.6855908361626559,0.00028875056294283617,0.00021629923796702088,0.00028875056294283617,0.00021629923796702088,0.1257107964409257,-0.6855908361599008,0.00028875056294283617,0.00021629923796702088,0.00028875056294283617,0.00021629923796702088,0.7307007007007007
-0.003679569789232665,0.002289345209179788,0.1154488798184069,-0.6873848388360103,0.11544887981393558,-0.687384838833194,0.1154488798184069,-0.6873848388360103,0.0002921291544146506,0.00020723396003388878,0.0002921291544146506,0.00020723396003388878,0.11544887981393558,-0.687384838833194,0.0002921291544146506,0.00020723396003388878,0.0002921291544146506,0.00020723396003388878,0.7308008008008008
-0.0035639071533991565,0.0023996593451710443,0.10516487933922558,-0.6890240831174069,0.10516487933478738,-0.6890240831145079,0.10516487933922558,-0.6890240831174069,0.0002952514367844085,0.00019814809736833086,0.0002952514367844085,0.00019814809736833086,0.10516487933478738,-0.6890240831145079,0.0002952514367844085,0.00019814809736833086,0.0002952514367844085,0.00019814809736833086,0.7309009009009009
-0.0034454623851952844,0.0025048579200826647,0.09486116296099804,-0.6905083739661009,0.09486116295664074,-0.6905083739631764,0.09486116296099804,-0.6905083739661009,0.00029811863317626944,0.00018904834269268143,0.00029811863317626944,0.00018904834269268143,0.09486116295664074,-0.6905083739631764,0.00029811863317626944,0.00018904834269268143,0.00029811863317626944,0.00018904834269268143,0.731001001001001
-0.00332443980254653,0.002604894591422527,0.08454009793164345,-0.6918375537540876,0.08454009792735483,-0.6918375537511158,0.08454009793164345,-0.6918375537540876,0.0003007321324916934,0.00017994131521618476,0.0003007321324916934,0.00017994131521618476,0.08454009792735483,-0.6918375537511158,0.0003007321324916934,0.00017994131521618476,0.0003007321324916934,0.00017994131521618476,0.731101101101101
-0.003201043247956664,0.0026997304434880527,0.07420405013796184,-0.6930115022176598,0.07420405013370739,-0.6930115022146448,0.07420405013796184,-0.6930115022176598,0.000303093486467392,0.00017083355661365998,0.000303093486467392,0.00017083355661365998,0.07420405013370739,-0.6930115022146448,0.000303093486467392,0.00017083355661365998,0.000303093486467392,0.00017083355661365998,0.7312012012012011
-0.003075475844329789,0.00278933389432872,0.06385538347210189,-0.6940301363065569,0.06385538346789481,-0.6940301363034851,0.06385538347210189,-0.6940301363065569,0.00030520440687886323,0.00016173152683407626,0.00030520440687886323,0.00016173152683407626,0.06385538346789481,-0.6940301363034851,0.00030520440687886323,0.00016173152683407626,0.00030520440687886323,0.00016173152683407626,0.7313013013013013
