s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength_μm
-0.0006919059508468,0.0027766576627901,0.5501293686776636,0.4142529193979455,0.5501200561836879,0.4142573009897703,0.5480931299911426,0.413971210829039,0.0155876141621844,0.0441066795663647,-0.0167531597331826,-0.0398623547538554,0.5480931299911426,0.413971210829039,-0.0167531597331826,-0.0398623547538554,0.0155876141621844,0.0441066795663647,0.588
0.0004048207612659,0.0021633959552206,0.6565111143923336,0.2080927448203251,0.6565038156421587,0.2080999731759304,0.6545187296691389,0.2085082330644034,0.0313816074505286,0.0339222568609619,-0.0310349775557882,-0.0301268961070958,0.6545187296691389,0.2085082330644034,-0.0310349775557882,-0.0301268961070958,0.0313816074505286,0.0339222568609619,0.5881
0.0011769605151894,0.0011726688340242,0.6884067116924436,-0.0216289691797319,0.6884022550863237,-0.0216197343173614,0.6866824292387107,-0.0205849204593864,0.0419353900012403,0.018386232986923,-0.0403544949437484,-0.0155746630404253,0.6866824292387107,-0.0205849204593864,-0.0403544949437484,-0.0155746630404253,0.0419353900012403,0.018386232986923,0.5882
0.0015040441721528,-3.996750346754907e-05,0.6422667193715931,-0.2488532408126487,0.6422656044490183,-0.2488430649763461,0.640991766057192,-0.2473121366805518,0.0455804357894808,-2.400349416643244e-05,-0.0432250531376858,0.001455567405714,0.640991766057192,-0.2473121366805518,-0.0432250531376858,0.001455567405714,0.0455804357894808,-2.400349416643244e-05,0.5882999999999999
0.0013355054127994,-0.0012847019551152,0.5233862752457794,-0.4478448709552254,0.5233886176163545,-0.4478349223779362,0.5226877290737265,-0.4459807556153646,0.041751284608936,-0.0183799614142953,-0.0392024883906298,0.0182348328426832,0.5226877290737265,-0.4459807556153646,-0.0392024883906298,0.0182348328426832,0.041751284608936,-0.0183799614142953,0.5883999999999999
0.0006983442677814,-0.0023673318019239,0.3452857144737066,-0.5961047838291476,0.3452912345881759,-0.5960961999740569,0.3452322007887719,-0.5941169544250406,0.0310716407399267,-0.0337701543383469,-0.0289493750284765,0.0320879075781465,0.3452322007887719,-0.5941169544250406,-0.0289493750284765,0.0320879075781465,0.0310716407399267,-0.0337701543383469,0.5884999999999999
-0.0003074157131163,-0.0031196878262841,0.1281625403921087,-0.6769076311331701,0.1281705971364121,-0.6769013894334076,0.1287617679079798,-0.6750064546688337,0.0152501033749441,-0.0437630425097939,-0.0141183626382723,0.0408224848556471,0.1287617679079798,-0.6750064546688337,-0.0141183626382723,0.0408224848556471,0.0152501033749441,-0.0437630425097939,0.5886
-0.001524705964412,-0.0034258377600827,-0.1034067607939137,-0.6811791145852267,-0.1033970957126447,-0.6811759219158656,-0.1022109035686264,-0.6795715238141542,-0.0031962422518007,-0.0467905673621316,0.0029218986983078,0.0430736338074774,-0.1022109035686264,-0.6795715238141542,0.0029218986983078,0.0430736338074774,-0.0031962422518007,-0.0467905673621316,0.5887
-0.0027642616935648,-0.0032399722091958,-0.3232525772927292,-0.6085034305774804,-0.3232424127317314,-0.6085036438275929,-0.3215814282128652,-0.6073744940609173,-0.0213445329338386,-0.0423918138669302,0.0194697305565856,0.0385104862191521,-0.3215814282128652,-0.6073744940609173,0.0194697305565856,0.0385104862191521,-0.0213445329338386,-0.0423918138669302,0.5888
-0.0038343940344715,-0.0025932058653955,-0.5065693824257202,-0.4671504620431952,-0.5065598810998673,-0.4671540486216022,-0.5046045886010533,-0.4666405296474518,-0.0363297828150506,-0.0312797181084661,0.0329186366823023,0.0278766840980058,-0.5046045886010533,-0.4666405296474518,0.0329186366823023,0.0278766840980058,-0.0363297828150506,-0.0312797181084661,0.5889
-0.004570985536959,-0.001588283648462,-0.6327101770537287,-0.2731234328369936,-0.632702423084793,-0.2731299754505913,-0.630677991083327,-0.2733047737800669,-0.0457956627613678,-0.0152224589810652,0.0411632201910914,0.0128632580153594,-0.630677991083327,-0.2733047737800669,0.0411632201910914,0.0128632580153594,-0.0457956627613678,-0.0152224589810652,0.589
-0.0048629991078637,-0.0003830873374231,-0.6875039934421161,-0.0483380676288955,-0.6874988691348857,-0.0483468127023382,-0.6856479031046547,-0.0491979634033276,-0.0482620032822895,0.0032396465254289,0.0429217940733515,-0.004162248472657,-0.6856479031046547,-0.0491979634033276,0.0429217940733515,-0.004162248472657,-0.0482620032822895,0.0032396465254289,0.5891
-0.0046695209678169,0.0008344072981141,-0.6648374439970266,0.1818585350972937,-0.6648355297690518,0.1818485909008825,-0.6633832298176199,0.1804214587598631,-0.0433528101178195,0.021195844596619,0.0379292706204637,-0.0205266876722254,-0.6633832298176199,0.1804214587598631,0.0379292706204637,-0.0205266876722254,-0.0433528101178195,0.021195844596619,0.5892
